"id","source","coin","satoshis","wei","usdt","timestamp"
355,0,"MAID",7188,,,1508341182.4075
356,0,"XRP",4169,,,1508341182.4075
357,0,"EXP",32855,,,1508341182.4075
358,0,"STRAT",59172,,,1508341182.4075
359,0,"VTC",29898,,,1508341182.4075
360,0,"DCR",497494,,,1508341182.4075
361,0,"NEOS",42544,,,1508341182.4075
362,0,"PPC",20726,,,1508341182.4075
363,0,"VIA",19970,,,1508341182.4075
364,0,"STEEM",19795,,,1508341182.4075
365,0,"BCY",4900,,,1508341182.4075
366,0,"SBD",18097,,,1508341182.4075
367,0,"GNO",1521047,,,1508341182.4075
368,0,"DOGE",19,,,1508341182.4075
369,0,"PINK",383,,,1508341182.4075
370,0,"RIC",750,,,1508341182.4075
371,0,"BLK",3158,,,1508341182.4075
372,0,"SYS",3489,,,1508341182.4075
373,0,"SJCX",8253,,,1508341182.4075
374,0,"HUC",1232,,,1508341182.4075
375,0,"LSK",91685,,,1508341182.4075
376,0,"CVC",5893,,,1508341182.4075
377,0,"RADS",68935,,,1508341182.4075
378,0,"SC",78,,,1508341182.4075
379,0,"FCT",305477,,,1508341182.4075
380,0,"ZRX",3938,,,1508341182.4075
381,0,"STR",707,,,1508341182.4075
382,0,"XBC",830240,,,1508341182.4075
383,0,"NOTE",697,,,1508341182.4075
384,0,"NXC",4487,,,1508341182.4075
385,0,"BCH",6011103,,,1508341182.4075
386,0,"XVC",4187,,,1508341182.4075
387,0,"GAME",36491,,,1508341182.4075
388,0,"ZEC",4174056,,,1508341182.4075
389,0,"XEM",4079,,,1508341182.4075
390,0,"XMR",1662000,,,1508341182.4075
391,0,"EMC2",1598,,,1508341182.4075
392,0,"REP",340000,,,1508341182.4075
393,0,"POT",1269,,,1508341182.4075
394,0,"NMC",20758,,,1508341182.4075
395,0,"FLDC",158,,,1508341182.4075
396,0,"BCN",25,,,1508341182.4075
397,0,"FLO",1248,,,1508341182.4075
398,0,"XPM",1950,,,1508341182.4075
399,0,"BELA",1825,,,1508341182.4075
400,0,"GAS",388104,,,1508341182.4075
401,0,"CLAM",72912,,,1508341182.4075
402,0,"OMG",148887,,,1508341182.4075
403,0,"LBC",3100,,,1508341182.4075
404,0,"PASC",4631,,,1508341182.4075
405,0,"GNT",3918,,,1508341182.4075
406,0,"OMNI",410052,,,1508341182.4075
407,0,"BURST",119,,,1508341182.4075
408,0,"VRC",5781,,,1508341182.4075
409,0,"GRC",602,,,1508341182.4075
410,0,"BTCD",1533000,,,1508341182.4075
411,0,"NAUT",1870,,,1508341182.4075
412,0,"ETC",208201,,,1508341182.4075
413,0,"BTS",1054,,,1508341182.4075
414,0,"DASH",5372903,,,1508341182.4075
